NO,,คำถาม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คำตอบ,,,,,,,,,,,,,,การตอบกลับของลูกค้า,
17,,"ลูกค้าแจ้งว่าได้รับเมลล์เชิญเข้าร่วมสัมมาวันที่ 18/07/67 เรื่องSME สตาร์ทอัพ อยากทราบว่าเหมาะกับบุคคลใด เหมาะกับเจ้าของกิจการ หรือ เป็นในส่วนงานไหน ลูกค้าจะได้ตัดสินค้าใจเข้าร่วมถูก สามารถแจ้งรายละเอียดไก้ผ่านเมลล์ moderntrade@88thailand.co.th

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"ลูกค้าแจ้งว่าต้งอการสอบถามการลงสัมมนาที่จะเกิดขึ้นในวันที่ 18/07/67 ลูกค้าลงทะเบียนเพื่อเข้าสัมมนาออนไลน์ไป สแกน qr code เพื่อจะสมัครแล้ว แต่หน้าจอหมุนและเด้งออก พอจะลงทะเบียนใหม่ระบบแจ้งว่าเมลล์นี้ลงทะเบียนแล้วให้ลงทะเบียนด้วยเมลใหม่ ต้งอการให้ตรวจสอบและแจ้งกลับ ใช้เมลล์ vrtoys@gmail.com ในการลงทะเบียน

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,ลูกค้าเป็นคู่ค้าลงทะเบียนคิวอาร์โค้ด เข้าร่วมโครงการตลาดหลักทรัพย์  ไม่ได้  พอสแกนคิวอาร์โค้ดแล้ว   ให้ลงทะเบียน แต่  ทำรายการต่อไม่ได้ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ขอประสานงานให้เจ้าหน้าที่ติดต่อกลับ 
20,,"สมัคร Member แล้ว พอกดตรงคำว่าลงทะเบียน ระบบ หมุน ไม่ไปหน้าถัดไป รอมาสักพักหนึ่งแล้ว อยากทราบว่า

1. ระบบมีปัญหาหรือไม่

2. มีผู้ใช้สิทธิ์ไปกี่ที่นั่งแล้ว ตอนนี้เต็มหรือยัง


",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,ขอเบอร์ออล์ออนไลน์ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371  กด2 ,,,,,,,,,,,,,,,
22,,ลูกค้าต้องการติดต่อเรื่องการเปิดร้าน 7-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำติตด่อ 02-8267800 กด 1,,,,,,,,,,,,,,,
23,,ออล์ออนไลน ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371  กด 2,,,,,,,,,,,,,,,
24,,ต้องการทราบว่า หากผ่านการพิจารณานำสินค้าเข้ามาแล้ว หากว่าสินค้าที่หมดอายุ หรือว่า กระบวนการเรื่องค่าใช้จ่าย จะยังไง ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,เบื้องต้นแจ้งข้อมูลแล้วว่าให้รอการติดต่อกลับจากส่วนงานที่ดูแลอีกครั้ง เพราะขั้นตอนต่างๆต้องใช้ระยะเวลา,,,,,,,,,,,,,,,
25,,ติดต่อเข้ามาสอบถามข้อมูลค่ะ เนื่องจากลูกค้เสนอสินค้านำเข้าค่ะ ไม่มั่นใจว่าเค้าร่วม SME หรือไม่ หรือต้องมีแนวทางอย่างไร มีเพิ่มสินค้าเข้ามา เมื่อเดือน มีนาคม ทางลุกค้าได้รับเมลลืตอบกลับแล้วค่ะ ไม่ทราบว่าสินค้าเป็น SME หรือไม่ค่ะ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,เรามีการส่งเรื่องเสนอสินค้าเข้าไป แล้วผ่านขั้นตอนการวิจารณาแล้ว และจะมีขั้นตอนให้นำส่งสินค้าตัวอย่างประกอบการวิจัย เราต้องการทราบว่า จะต้องส่งสินค้าตัวอย่างจำนวนเท่านั้นค่ะ และเราได้ติดต่อคุณกวาง เบอร์ 0845096344 ตั้งแต่ช่วงเช้า โทรติดแต่ว่าไม่รับสายเลยค่ะ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"ลูกค้า 7SME100512 คุณอชิรพงษ์  ได้รับอีเมล ตอบรับสินค้า ยาหม่องน้ำ  ตราทองไทยเกอร์ ในวันที่  10  มิย. 67  แต่ ยังไม่มีการติดต่อกลับ   



   



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,รบกวนติดต่อกลับด่วน
28,,"ลูกค้าเเจ้งว่ามีการกรอกลงทะเบียนมาในเว็ป และผ่านการพิจารณาแล้ว  เขาให้กรอกในส่วนที่ 2 ทางลูกค้ากรอกเรียบร้อยแล้ว ตั้งแต่วันที่ 09/07/67  เเต่ตอนนี้ยังไม่ได้รับการติดต่อกลับเลยค่ะ 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"ลูกค้าแจ้งว่าได้ทำการนำเสนอสินค้าผ่านหน้าเว็ปกำลังจะอัพโหลดภาพสินค้าแต่ไม่สำเร็จ พอจะลงทะเบียนใหม่ระบบขึ้นว่าได้ลงทะเบียนแล้ว เลยอยากให้ตรวจสอบว่าได้ลงทะเบียนสำเร็จหรือไม่

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"ลูกค้าแจ้งวาได้มีการลงทะเบียนเสนอสินค้าไปเมื่อ 26/06/67 แต่มาตรวจสอบดูพบว่าไม่มีรายการใดๆขึ้น จึงอยากสอบถามว่าที่ลูกค้าลงทะเบียนสินค้าไปสำเร็จหรือไม่

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,ลูกค้าแจ้งว่ามีการตอบรับจากหน่วยงานที่เกี่ยวข้องแล้ว ว่าผ่านการอนุมัติพิจารณา แต่ยังไม่ได้รับการติดต่อกลับทางโทรศัพท์ ลูกค้าอยากรู้ว่าในขั้นตอนต่อไปต้องทำเนินการอย่างไร มีการรอมา 20 วันแล้ว รบกวนตรวจสอบและติดต่อกลับลูกค้าด้วย,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,"ลูกค้าแจ้งว่ามีการส่งการนำเสนอสินค้าเมื่อวันที่ 01/07/67 สถานะตอนนี้ รอพิจารณา เบื้องต้น ลูกค้าต้องการแก้ไขในส่วนของราคา จาก 59 บาท เป็น 99 บาทค่ะ (แก้ไขข้อมูลราคาอย่างเดียว) ลูกค้าแจ้งเพิ่มเติมว่าสินค้าดังกล่าวลูกค้าเคยมีการนำเสนอมาแล้วเมื่อประมาณ เดือนกุมภาพันธ์ แต่ไม่ผ่าน เนื่องจากตั้งราคาไว้สูง (2 แคปซูล ราคา 129 บาท) ตอนนี้ลูกค้าจึงนำเสนอไปใหม่ค่ะ 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,ลูกค้าติดตามเรื่องเข้ามาประมาณ 3-4 ครั้งแล้วค่ะ เนื่องจากสินค้าที่ลูกค้าเสนอเข้ามานั้น ได้ผ่านการพิจารณาเมื่อวันที่ 27/10/2023 แล้ว อยากทราบว่าช่วงเวลาไหนถึงจะได้ดำเนินการในขั้นตอนต่อไปได้ เพราะรอที่จะนำสินค้าเข้ามาจำหน่ายอยู่ค่ะ อยากทราบช่วงเวลาที่ชัดเจนนิดนึง ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,"ส่งสินค้าให้คุณกวาง แล้วยังไม่ได้รับเมลล์ตอบกลับ ต้องการให้ทางหน่วยงานที่เกี่ยวข้องตรวจสอบและติดต่อกลับ

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,ต้องการ ทราบผลดำเนินการ  ลูกหยี ปลายด้ามขวาน  มีเจ้าหน้าที่ ติดต่อทางไลน์ ให้ส่งข้อมูลทางไลน์   เสียค่าใชา้จ่าย 1000  บาท   แล้วจะเป็น VIP   แต่ลูกค้ายังไม่เคยลงทะเบียน ผ่านเว็ปไซต์ เลย ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งไม่ใช่ ของบริษัท ซีพี,,,,,,,,,,,,,,,
36,,ต้องการนำเสนอสินค้า ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
37,,ต้องการนำเสนอสินค้า,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com ,,,,,,,,,,,,,,,
38,,ต้องการนำเสนอสินค้า เป็นสินค้าที่นำเข้า ยังไม่มีอย.เลยค่ะ  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com และแนะนำข้อมูลให้ทราบเรียบร้อย,,,,,,,,,,,,,,,
39,,ต้องการเสนอสินค้าเข้า 7-11  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
40,,"นำเสนอสินค้า 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
41,,"ลูกค้าแจ้งว่าได้กรอรกข้อมูลการผ่านพิจารณาแล้ว ต้องทำอะไรต่อไม๊ 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งลูกค้ารอหน่วยงานตรวจสอบข้อมูลลูกค้าค่ะ,,,,,,,,,,,,,,,
42,,ลูกค้าต้งอการเสนอสินค้าเครื่องสำอางค์เข้า 7-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
43,,ลูกค้าต้องการนำเสนอสินค้าลงขายใน 7-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
44,,ลูกค้าต้องการนำเสนอสินค้าลงร้าน 7-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
45,,ลูกค้าต้องการนำเสนอสินค้าลงร้าน7-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
46,,ลูกค้าต้องการเสนอสินค้าลงขายใน 7-11 แต่ไม่มี Email และลงทะเบียนผ่านหน้าเว็ปไม่เป็น เคย พยายามลองแล้วแต่ก็ไม่ได้ พอจะแนะนำหรือช่วยเหลืออย่างไรได้บ้าง หรือสามารถนำสินค้าที่เสนอที่ สนง.เลยได้ไหม ตอนนี้สินค้าขายดีมากในจังหวัดระยอง และชลบุรี ลูกค้าวางขายในนาม ประกิต99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,ลูกค้าต้องการเสนอสินค้าลงร้าน 7-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
48,,ลูกค้าโทรเข้ามาทางช่องทาง SME สอบถามว่า ต้องการเสนอขายพวกหลอดไฟ โคมไฟ ที่ใช้ภายในร้านสาขาให้กับทาง 7-11 ค่ะ ไม่ใช่เป็นการขายในร้านสาขานะคะ เป็นพวกงานซ่อมบำรุง ต้องติดต่อจัดซื้อหรือติดต่อหน่วยงานใด,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,ลูกค้าสอบถามการนำเสนอสินค้าลงร้าน 7-11  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
50,,ลูกค้าสอบถามการเสนอสินค้าบนแพ็คเกจจะต้องระบุราคาหรือไม่ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งลูกค้าไม่จำเป็นค่ะ และแนะนำหากต้องการเสนอสินค้า แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
51,,หลอดไฟ LED รถยนต์ ของ ร้าน LED Shop  สินค้า ไม่ตรงตามความต้องการของกลุ่มลูกค้า     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,, กรอกข้อมูลสินค้าเรียบร้อยแล้ว แต่ไม่สามารถใส่รูปภาพสินค้าได้,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,7SME814613 ผู้ประกอบการแจ้งว่าได้รับ email ตอบกลับว่า สินค้ายังไม่ตรงกับกลุ่มเป้าหมาย หากต้องการขอคำปรึกษาให้ติดต่อมาที่ 02 826 7750 แต่ผู้ประกอบการคิดว่าสินค้าประเภทนี้เป็นสินค้าสำคัญที่ควรจะมีวางจำหน่ายใน 7-eleven จะต้องทำอย่างไรถึงจะผ่าน ทาง Call ชี้แ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ผู้ประกอบการแจ้งว่าต้องการปรึกษาว่าผิดพลาดตรงไหน  ทำไมถึงไม่ผ่านการพิจารณา เพราะในเมล์ไม่มีเเจ้ง  เป็นการเสนอขายในหน้าร้านค่ะ  ต้องการให้ติดต่อกลับค่ะ ,,,,,,,,,,,,,,,
54,,ก่อนหน้านี้แจ้งเรื่องมาจากกรอกข้อมูลแล้ว ใส่รูปสินค้าไม่ได้ พอไปแก้ไขขนาดรูปมาแล้ว จะมาใส่รูปใหม่ ระบบแจ้งว่าคุณเคยกรอกข้อมูลไปแล้ว ทำให้เราเข้าไปใส่รูปภาพไม่ได้ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำให้เช็ค email ที่ลงทะเบียนอีกครั้ง,,,,,,,,,,,,,,,
55,,"คุณปราณีติดต่อจาก บริษัท สหทวีสิน อิมปอร์ต เอ็กซ์ปอร์ต จำกัด แจ้งว่าได้รับ email จากคุณนพเกล้า ร่วมประชุม SME ของวันที่ 18/07/67 ,เบื้องต้นได้มีการสแกน QR Code ในการลงทะเบียนแล้ว แต่ว่าขั้นตอนที่ลงทะเบียน ไม่มีช่องให้เพิ่มรายชื่อผู้เข้าร่วมเพิ่มเติมค่ะ แบบนี้จะทำยังไงได้บ้างค่ะ ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,ต้องการนำเอาสินค้ามาลงสาขา สายหลุดไป  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,"ตอนนี้ลูกค้าต้องการลงทะเบียน  เตรียมพร้อมการสูระบระดมทุน    เข้าไปแล้วแต่ว่าลูกค้าเข้าไป 

ไม่ได้  ลุกค้าต้องการให้ติดต่อกลับ ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,ติดต่อมาจาก บริษัท ยูเนียนเมดดิคอล (ประเทศไทย) จำกัด นะคะ พอดีว่าได้รับ Email เข้าร่วมประชุม SME และพอเราสแกน QR Code ที่ส่งมาให้แล้ว เหมือนระบบจะให้ลงทะเบียนเป็นสมาชิกก่อน แต่พอเรากดลงทะเบียน มันลงทะเบียนไม่ได้ค่ะ และของหัวหน้าเราก็ได้รับ Email เหมือนกัน แต่พอสแกน QR Code และลงทะเบียนไม่ได้เป็นเหมือนกันค่ะ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,"ติดต่อลูกค้าแจ้งสอบถามการสนใจสมัคร 7SME

แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,"บริการคำปรึกษา>สอบถามข้อมูลการทำธุรกิจ SME 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,มีน้ำปลาร้า ต้องการนำไปวางจำหน่ายใน 7-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,"ไม่ทราบว่าทาง CP ALL ที่นำเสนอสินค้าเข้ามาจำหน่ายในเซเว่น มีรับสมัคร VIP 1,299 บ. ด้วยไหมค่ะ  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,"รบกวนสอบถาม ลูกค้าสอบถามงานสัมมนา ในวันที่ 18/07/67 เรื่อง ""เปิดบ้านแนะนำโอกาสการเติบโต และเส้นทางระดมทุนเพื่อ SME/Start Up"" ลูกค้าแจ้งว่าได้รับ QR code แล้วเมื่อเข้าไปที่เว็บไซต์แล้วอยากทราบว่าจะต้องไปกรอกข้อมูลตรงไหนต่อ เนื่องจากหน้าลงทะเบียนจะเป็นหน้า",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,"เราติดต่อจาก บริษัท ครัวนภัส ผลิตภัณฑ์อาหาร จำกัด นะคะ ,เราได้รับ email เรียกเชิญเข้าร่วมสัมมนา SME เห็นมีระบุไว้ 200 ที่นั่ง ,เราต้องการข้อมูลในการเข้าร่วมสัมมนานี้ เพื่อไปแจ้งกับทางเจ้านายค่ะ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,เราสนใจที่จะนำเสื้อยืดผ้ามัดย้อมเข้ามาจำหน่ายในร้านเซเว่น และลูกค้าจะเข้าไปกรอกข้อมูลในเว็บ แต่ส่วนใหญ่ที่เจอจะให้กรอกข้อมูลเกี่ยวกับพวกอาหาร ลูกค้าไม่ทราบว่าจะต้องกรอกข้อมูลสินค้าตรงไหน อยากจะให้ทางจนท.โทรมาแนะนำลูกค้าหน่อยค่ะ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,ลูกค้าเเจ้งว่าแนบรูปไม่ได้ พอออกจากระบบแล้วลงทะเบียนใหม่ ระบบฟ้งว่าคุณทำรายการเรียบร้อย ไม่สามารถเข้ากรอกข้อมูลเพิ่มเติมได้   ต้องการให้ตรวจสอบ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,"ลูกค้าเเจ้งว่าลงทะเบียนผ่านลิ้ง กรอกข้อมูลยังไม่ได้  

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำกรอกข้อมูลลงทะเบียนนำเสนอสินค้าทาง  www.7smesupportcenter.com,,,,,,,,,,,,,,,
68,,ลูกค้าแจ้งว่าได้กดเข้าไปในลิ้งค์และกรอบข้อมูลสินค้าเรียบร้อยแล้ว แต่พอถึงขั้นตอนให้เพิ่มรูปภาพสินค้า เราใส่รูปภาพไม่ได้ค่ะ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ขอบคุณที่ให้ความสนใจร่วมธุรกิจกับเรานะคะ ท่านสามารถฝากข้อมูลสินค้าได้ที่ https://www.7smesupportcenter.com/,,,,,,,,,,,,,,,
69,,ลูกค้าได้มีเสนอสินค้าเข้ามาเมื่อวันที่    10/06/2567    เป็นสินค้ายาหม่องทองไทเกอร์    รหัสสินค้า7SME100512   ลูกค้าบอกว่าได้รับ Mail มาว่าได้รับการอนุม้ัติ แล้วก็เลยอยากทราบ จะต้องการทำอะไรเพิ่มเติม   ลูกค้าต้องการให้ติดต่อกลับ    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ไม่มีครับ แนะนำอย่าให้ข้อมูล,,,,,,,,,,,,,,,
70,,"ลูกค้าได้รับ email ร่วมสัมมนา SME OPEN HOUSEพอเข้าไปกรอกข้อมูล ระบบมีให้เลือกลงทะเบียนแบบ Online ticket ,OnSite ticketซึ่งเราไปเลือก Online ticket แล้วหัวข้อสัมมนามันเป็นคนละเรื่องกันเลยค่ะ แบบนี้ต้องแก้ไขยังไงค่ะ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งลูกค้าให้กรอกข้อมูลตาม QR codeที่ได้รับค่ะ,,,,,,,,,,,,,,,
71,,ลูกค้าต้องการติดต่อคุณนพเกล้า      อยากสอบถามที่เข้าร่วมสัมนา   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
